title;rating;ratingLevel;release year;user rating score;ageGroup
Marvel's Jessica Jones;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;83.0;Adult
Bloodline;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Velvet;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
The Crown;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;84.0;Adult
Kurt Seyit & Sura;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;86.0;Teen
The Returned;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;Teen
The Girl in the Book;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;Adult
Quantico;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;88.0;Teen
100 Metros;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Dexter;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;95.0;Adult
Leverage;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;86.0;Parental Guidance
Burn Notice;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;85.0;Teen
Luther;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;69.0;Teen
Hawaii Five-0;TV-14;dialogue, language, sexual situations and violence;2016;96.0;Teen
Last Man Standing;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;97.0;Parental Guidance
Person of Interest;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;93.0;Teen
Touch;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;68.0;Teen
Breakout Kings;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;88.0;Teen
The Following;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;Teen
Drugs, Inc.;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;Teen
Longmire;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;92.0;Teen
Ripper Street;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
The Fall;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;61.0;Adult
Death in Paradise;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;77.0;Teen
Marvel's Agents of S.H.I.E.L.D.;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;89.0;Parental Guidance
Crossing Lines;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;66.0;Teen
The Honorable Woman;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;89.0;Adult
Transporter: The Series;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;89.0;Adult
Gotham;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;85.0;Teen
American Odyssey;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;Teen
Aquarius;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;Adult
Hap and Leonard;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;57.0;Adult
Rosewood;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;81.0;Teen
Limitless;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;84.0;Teen
Travelers;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;86.0;Adult
The Doctor Blake Mysteries;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;57.0;Adult
I.T;NR;This movie has not been rated.;2016;77.0;Unrated
Bordertown;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
The West Wing;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2005;79.0;Teen
Blue Bloods;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;Teen
Forensic Files;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;88.0;Teen
Rectify;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
American Crime;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
