title;rating_x;ratingLevel;release year;user rating score;ageGroup;director;cast;country;date_added;release_year_x;duration;listed_in;imdb_score;imdb_votes;budget;genres;popularity;production_companies;release_date;revenue;runtime_y;type
an american tail;G;General Audiences. Suitable for all ages.;1986;67.0;Family;Don Bluth;Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser, Christopher Plummer, John Finnegan, Will Ryan, Hal Smith, Dom DeLuise, Madeline Kahn;United States;April 1, 2018;1986.0;80 min;Children & Family Movies;;;9000000;['Drama', 'Family', 'Animation', 'Adventure'];11.928545;['Universal Pictures', 'Amblin Entertainment'];1986-11-21;84542002.0;80.0;Movie
pooh's grand adventure: the search for christopher robin;G;General Audiences. Suitable for all ages.;1997;;Family;;;;;;;;;;0;['Animation', 'Family'];5.83918;['Walt Disney Studios Home Entertainment'];1997-08-05;0.0;76.0;
ferngully 2: the magical rescue;G;General Audiences. Suitable for all ages.;1998;;Family;;;;;;;;;;0;['Animation', 'Family'];1.273338;['20th Century Fox Home Entertainment', 'CBS Films', 'Buena Vista International'];1998-03-17;0.0;72.0;
balto 2: wolf quest;G;General Audiences. Suitable for all ages.;2001;;Family;Phil Weinstein;Maurice LaMarche, Jodi Benson, Lacey Chabert, David Carradine, Mark Hamill, Charles Fleischer, Peter MacNicol, Rob Paulsen, Nicolette Little, Melanie Stone;United States;April 1, 2018;2001.0;75 min;Children & Family Movies;;;;;;;;;;Movie
balto;G;General Audiences. Suitable for all ages.;1995;64.0;Family;Simon Wells;Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Jack Angel, Danny Mann, Robbie Rist;United States;April 1, 2018;1995.0;78 min;Children & Family Movies, Dramas;;;0;['Family', 'Animation', 'Adventure'];12.140733;['Universal Pictures', 'Amblin Entertainment', 'Amblimation'];1995-12-22;11348324.0;78.0;Movie
back to the secret garden;G;General Audiences. Suitable for all ages.;2002;;Family;;;;;;;;;;0;['Fantasy', 'Drama', 'Family'];1.126743;['Artisan Entertainment', 'Hallmark Entertainment'];2001-01-01;0.0;100.0;
the brave little toaster goes to mars;G;General Audiences. Suitable for all ages.;1998;;Family;;;;;;;;;;0;['Animation', 'Family'];1.614156;[];1998-05-19;0.0;73.0;
the brave little toaster to the rescue;G;General Audiences. Suitable for all ages.;1997;;Family;;;;;;;;;;0;['Animation', 'Comedy', 'Family', 'Fantasy'];2.799264;[];1997-11-01;0.0;74.0;
an american tail: the mystery of the night monster;G;General Audiences. Suitable for all ages.;1999;;Family;Larry Latham;Thomas Dekker, Lacey Chabert, Jane Singer, Nehemiah Persoff, Susan Boyd, Robert Hays, Pat Musick, Dom DeLuise, Candi Milo, Jeff Bennett;United States;April 1, 2018;1999.0;75 min;Children & Family Movies;;;0;['Adventure', 'Fantasy', 'Animation', 'Science Fiction', 'Mystery', 'Family'];5.832963;['Universal Pictures'];1999-02-04;0.0;78.0;Movie
an american tail: fievel goes west;G;General Audiences. Suitable for all ages.;1991;;Family;Phil Nibbelink, Simon Wells;Philip Glasser, James Stewart, Erica Yohn, Cathy Cavadini, Nehemiah Persoff, Dom DeLuise, Amy Irving, John Cleese, Jon Lovitz;United States;April 1, 2018;1991.0;75 min;Children & Family Movies;;;0;['Adventure', 'Animation', 'Family'];8.800701;['Universal Pictures', 'Amblin Entertainment', 'Amblimation'];1991-11-21;40766041.0;75.0;Movie
